Image Size: 2048 x 1024
Processing time: 4931.9ms
Object #,Class Name,Confidence
1,car,0.9573138356208801
2,car,0.9507226347923279
3,car,0.9504896402359009
4,car,0.9503331780433655
5,traffic sign,0.914916455745697
6,car,0.9115395545959473
7,road,0.9104036688804626
8,vegetation,0.9083889722824097
9,person,0.9031081795692444
10,sidewalk,0.8993107676506042
11,person,0.8959590196609497
12,vegetation,0.8938026428222656
13,bicycle,0.888805627822876
14,building,0.8875515460968018
15,vegetation,0.8870681524276733
16,car,0.87491774559021
17,road,0.8567296862602234
18,car,0.85319983959198
19,traffic sign,0.8234668374061584
20,person,0.8082318305969238
21,pole,0.777299702167511
22,pole,0.767027735710144
23,sidewalk,0.7203184962272644
24,vegetation,0.6583864092826843
25,car,0.5908006429672241
26,road,0.5616788268089294
27,pole,0.5274945497512817
28,rider,0.4191964864730835
29,road,0.4013497531414032
30,sidewalk,0.3813185393810272
31,bicycle,0.37191644310951233
32,vegetation,0.31685706973075867
33,sidewalk,0.31527256965637207
34,vegetation,0.30402007699012756
35,sidewalk,0.2998226284980774
