                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5692,                 1.7201,                 1.3939,                0.49359,                0.30006,                0.31501,                0.18846,                 1.4116,                 1.2919,                 1.2639,             0.00014481,             0.00014481,             0.00014481
                      2,                 1.5062,                 1.3772,                 1.3506,                0.47281,                0.30559,                 0.3126,                0.18813,                 1.4027,                 1.2597,                 1.2551,             0.00028694,             0.00028694,             0.00028694
                      3,                 1.5091,                  1.336,                 1.3491,                0.47641,                0.29465,                0.31265,                0.18849,                 1.4077,                 1.2392,                 1.2559,              0.0004262,              0.0004262,              0.0004262
                      4,                 1.4778,                 1.2852,                 1.3277,                0.48207,                0.31397,                0.32067,                0.19199,                 1.4013,                 1.2327,                 1.2482,             0.00042208,             0.00042208,             0.00042208
                      5,                 1.4428,                 1.2362,                 1.3014,                0.47642,                0.31067,                0.32373,                0.19797,                 1.3591,                 1.1576,                 1.2178,             0.00041777,             0.00041777,             0.00041777
                      6,                 1.4274,                 1.2032,                 1.2949,                0.51512,                0.30977,                0.33497,                0.20355,                 1.3542,                 1.1618,                 1.2216,             0.00041347,             0.00041347,             0.00041347
                      7,                 1.4009,                   1.17,                  1.281,                0.52756,                0.33068,                0.35278,                0.21753,                 1.3055,                 1.0918,                  1.196,             0.00040916,             0.00040916,             0.00040916
                      8,                 1.3747,                 1.1412,                 1.2614,                0.53813,                0.34037,                0.36024,                0.22312,                   1.29,                 1.0699,                 1.1835,             0.00040485,             0.00040485,             0.00040485
                      9,                 1.3561,                 1.1125,                 1.2512,                0.54391,                0.33406,                0.36162,                0.22254,                 1.2895,                 1.0762,                 1.1901,             0.00040055,             0.00040055,             0.00040055
                     10,                 1.3538,                  1.105,                 1.2479,                0.55728,                0.34507,                 0.3692,                0.23192,                 1.2695,                 1.0405,                 1.1742,             0.00039624,             0.00039624,             0.00039624
                     11,                 1.3297,                 1.0699,                 1.2333,                0.54305,                0.34186,                0.36966,                0.23017,                 1.2812,                 1.0485,                 1.1791,             0.00039193,             0.00039193,             0.00039193
                     12,                 1.3212,                 1.0629,                  1.228,                0.54965,                0.35348,                0.37161,                0.23309,                  1.255,                 1.0331,                 1.1608,             0.00038763,             0.00038763,             0.00038763
                     13,                 1.3058,                 1.0391,                 1.2171,                0.56394,                  0.346,                0.37791,                0.23758,                 1.2639,                 1.0248,                 1.1628,             0.00038332,             0.00038332,             0.00038332
                     14,                 1.3017,                 1.0301,                 1.2142,                0.55611,                0.34619,                0.37769,                0.23776,                 1.2569,                 1.0096,                  1.163,             0.00037902,             0.00037902,             0.00037902
                     15,                 1.2953,                 1.0204,                 1.2115,                0.56378,                0.35194,                0.37949,                0.23695,                 1.2474,                 1.0121,                 1.1589,             0.00037471,             0.00037471,             0.00037471
                     16,                 1.2733,                0.99664,                 1.1968,                0.57365,                0.35154,                0.38621,                0.24321,                 1.2404,                0.99554,                 1.1543,              0.0003704,              0.0003704,              0.0003704
                     17,                 1.2734,                0.98961,                 1.1983,                0.56337,                0.36592,                0.39443,                0.24691,                 1.2272,                0.98431,                 1.1407,              0.0003661,              0.0003661,              0.0003661
                     18,                 1.2631,                0.97841,                   1.19,                0.56518,                0.35282,                0.38552,                0.24166,                 1.2351,                0.99526,                 1.1518,             0.00036179,             0.00036179,             0.00036179
                     19,                 1.2507,                0.96034,                 1.1822,                0.58762,                0.36332,                0.39663,                0.24913,                 1.2211,                0.97774,                 1.1439,             0.00035748,             0.00035748,             0.00035748
                     20,                 1.2462,                0.95187,                   1.18,                0.57834,                0.36896,                0.39506,                0.25004,                 1.2141,                0.96821,                 1.1375,             0.00035318,             0.00035318,             0.00035318
                     21,                 1.2467,                0.95623,                 1.1819,                0.57252,                0.36957,                 0.3989,                0.25309,                 1.2068,                0.96147,                 1.1379,             0.00034887,             0.00034887,             0.00034887
                     22,                 1.2335,                0.93724,                 1.1726,                0.58473,                0.36665,                0.40415,                 0.2583,                 1.2155,                0.96416,                  1.138,             0.00034456,             0.00034456,             0.00034456
                     23,                 1.2293,                0.93391,                 1.1673,                 0.5931,                0.37241,                0.40303,                0.25488,                 1.2058,                0.95514,                 1.1341,             0.00034026,             0.00034026,             0.00034026
                     24,                 1.2198,                 0.9202,                 1.1583,                0.57673,                0.38153,                0.40672,                0.25763,                 1.1971,                0.94643,                  1.126,             0.00033595,             0.00033595,             0.00033595
                     25,                 1.2141,                0.91882,                 1.1609,                0.59523,                0.37009,                0.40723,                0.26285,                 1.1886,                0.94532,                 1.1257,             0.00033164,             0.00033164,             0.00033164
                     26,                 1.2091,                0.90911,                  1.157,                0.60148,                0.37201,                0.41338,                0.26447,                 1.1909,                0.93763,                 1.1279,             0.00032734,             0.00032734,             0.00032734
                     27,                 1.2053,                0.89742,                 1.1526,                0.59958,                0.37994,                0.41394,                0.26651,                 1.1858,                0.93711,                 1.1215,             0.00032303,             0.00032303,             0.00032303
                     28,                  1.196,                0.88972,                 1.1498,                 0.5969,                0.37047,                0.40944,                0.26121,                 1.1847,                0.93433,                  1.122,             0.00031872,             0.00031872,             0.00031872
                     29,                 1.1872,                0.88149,                 1.1442,                0.58079,                0.37807,                0.41236,                 0.2621,                 1.1839,                0.93317,                 1.1271,             0.00031442,             0.00031442,             0.00031442
                     30,                 1.1873,                 0.8762,                 1.1426,                0.62453,                0.36984,                0.41575,                0.26539,                 1.1784,                0.93246,                 1.1229,             0.00031011,             0.00031011,             0.00031011
                     31,                  1.188,                0.87504,                 1.1415,                0.59966,                0.37336,                0.41518,                0.26511,                 1.1782,                0.93392,                  1.119,              0.0003058,              0.0003058,              0.0003058
                     32,                 1.1831,                 0.8705,                 1.1439,                0.60261,                0.37892,                0.42044,                0.26856,                 1.1832,                0.93257,                 1.1216,              0.0003015,              0.0003015,              0.0003015
                     33,                 1.1726,                0.86078,                 1.1354,                0.59156,                0.38031,                0.41812,                0.26937,                   1.18,                0.92971,                 1.1179,             0.00029719,             0.00029719,             0.00029719
                     34,                 1.1623,                0.85118,                 1.1291,                0.60553,                0.37975,                0.41976,                0.26952,                 1.1703,                0.92317,                 1.1158,             0.00029289,             0.00029289,             0.00029289
                     35,                 1.1659,                0.85086,                 1.1304,                0.61267,                0.37865,                0.42083,                0.26944,                 1.1841,                0.92248,                 1.1221,             0.00028858,             0.00028858,             0.00028858
                     36,                 1.1555,                0.84307,                 1.1243,                0.59543,                0.38079,                 0.4194,                0.27007,                 1.1733,                0.91811,                 1.1209,             0.00028427,             0.00028427,             0.00028427
                     37,                 1.1566,                0.84105,                 1.1251,                0.62614,                0.37711,                0.42522,                0.27292,                 1.1805,                0.90814,                 1.1158,             0.00027997,             0.00027997,             0.00027997
                     38,                 1.1535,                0.83281,                 1.1214,                0.60785,                0.38848,                0.42585,                0.27177,                 1.1765,                0.90836,                 1.1154,             0.00027566,             0.00027566,             0.00027566
                     39,                 1.1455,                0.82404,                 1.1193,                0.61157,                0.38312,                0.42366,                0.27136,                 1.1761,                0.90549,                 1.1209,             0.00027135,             0.00027135,             0.00027135
                     40,                 1.1408,                0.81925,                 1.1172,                0.60938,                0.38891,                0.43009,                0.27383,                 1.1795,                 0.8981,                 1.1228,             0.00026705,             0.00026705,             0.00026705
                     41,                 1.1394,                0.81517,                  1.112,                0.61164,                0.38367,                0.42769,                0.27501,                 1.1711,                0.89995,                 1.1183,             0.00026274,             0.00026274,             0.00026274
                     42,                 1.1218,                0.79724,                 1.1031,                0.61492,                0.38874,                0.42864,                0.27369,                 1.1818,                0.90576,                 1.1232,             0.00025843,             0.00025843,             0.00025843
                     43,                 1.1258,                0.79694,                 1.1032,                 0.6173,                0.38723,                0.43103,                 0.2764,                 1.1747,                0.89489,                 1.1235,             0.00025413,             0.00025413,             0.00025413
                     44,                 1.1189,                0.79031,                 1.0993,                0.61774,                0.38901,                0.43385,                0.27738,                 1.1693,                0.89679,                 1.1153,             0.00024982,             0.00024982,             0.00024982
                     45,                 1.1157,                0.78327,                 1.0976,                0.60486,                0.39433,                0.43086,                0.27587,                 1.1723,                0.89661,                 1.1202,             0.00024551,             0.00024551,             0.00024551
                     46,                 1.1107,                0.77811,                 1.0962,                0.61796,                0.38471,                0.43012,                0.27773,                 1.1656,                0.89101,                 1.1144,             0.00024121,             0.00024121,             0.00024121
                     47,                 1.1005,                  0.767,                   1.09,                 0.6317,                0.38045,                0.43014,                0.27684,                 1.1614,                0.88392,                 1.1186,              0.0002369,              0.0002369,              0.0002369
                     48,                 1.1025,                0.76272,                 1.0895,                0.61696,                0.38443,                  0.429,                0.27763,                 1.1606,                0.88775,                 1.1149,             0.00023259,             0.00023259,             0.00023259
                     49,                 1.1038,                0.76408,                 1.0915,                0.64192,                0.38732,                0.43577,                0.28081,                 1.1628,                0.88145,                 1.1163,             0.00022829,             0.00022829,             0.00022829
                     50,                 1.0918,                0.75457,                  1.083,                0.61413,                0.39604,                0.43662,                0.28247,                 1.1593,                0.87987,                 1.1146,             0.00022398,             0.00022398,             0.00022398
                     51,                 1.0894,                0.74972,                 1.0823,                0.61949,                0.38973,                0.43437,                0.27958,                 1.1572,                0.88364,                 1.1137,             0.00021968,             0.00021968,             0.00021968
                     52,                 1.0857,                0.74724,                 1.0797,                0.62847,                 0.3913,                0.43736,                0.28298,                 1.1641,                0.88609,                 1.1192,             0.00021537,             0.00021537,             0.00021537
                     53,                 1.0769,                 0.7357,                  1.076,                0.62558,                0.38593,                0.43498,                0.28156,                 1.1604,                0.89001,                 1.1206,             0.00021106,             0.00021106,             0.00021106
                     54,                 1.0822,                0.73582,                 1.0767,                0.61185,                0.39413,                0.43509,                0.27881,                 1.1656,                0.88869,                 1.1205,             0.00020676,             0.00020676,             0.00020676
                     55,                 1.0731,                0.72783,                 1.0737,                0.61356,                0.39022,                0.43281,                0.27963,                 1.1653,                 0.8833,                  1.119,             0.00020245,             0.00020245,             0.00020245
                     56,                 1.0691,                0.72263,                 1.0706,                0.62168,                 0.3864,                0.43303,                0.27897,                  1.166,                0.89123,                 1.1211,             0.00019814,             0.00019814,             0.00019814
                     57,                 1.0671,                0.71932,                 1.0692,                0.61723,                0.39326,                0.43404,                0.28144,                 1.1631,                0.88226,                 1.1233,             0.00019384,             0.00019384,             0.00019384
                     58,                 1.0642,                0.71644,                 1.0704,                0.63083,                0.39395,                0.43741,                0.27971,                  1.163,                0.88196,                 1.1235,             0.00018953,             0.00018953,             0.00018953
                     59,                 1.0596,                0.70957,                 1.0637,                0.62509,                0.39742,                0.43875,                0.28241,                 1.1563,                0.87567,                 1.1126,             0.00018522,             0.00018522,             0.00018522
                     60,                 1.0502,                0.70203,                 1.0601,                0.62416,                0.39656,                0.44043,                0.28403,                 1.1579,                0.87852,                 1.1234,             0.00018092,             0.00018092,             0.00018092
                     61,                 1.0476,                0.69821,                 1.0587,                 0.6431,                0.39294,                0.44261,                0.28488,                 1.1572,                0.87674,                 1.1175,             0.00017661,             0.00017661,             0.00017661
                     62,                 1.0491,                0.69537,                 1.0585,                0.63714,                0.39604,                0.44361,                0.28463,                 1.1622,                0.87301,                 1.1256,              0.0001723,              0.0001723,              0.0001723
                     63,                 1.0404,                0.68483,                 1.0533,                0.63036,                0.39749,                0.44184,                0.28321,                 1.1605,                 0.8754,                  1.122,               0.000168,               0.000168,               0.000168
                     64,                 1.0399,                0.68251,                 1.0518,                0.63943,                 0.3971,                0.44161,                 0.2837,                 1.1637,                0.88071,                  1.122,             0.00016369,             0.00016369,             0.00016369
                     65,                 1.0341,                0.68065,                   1.05,                0.63925,                0.39896,                0.44267,                0.28173,                 1.1626,                0.87414,                 1.1227,             0.00015938,             0.00015938,             0.00015938
                     66,                 1.0277,                0.67092,                 1.0465,                 0.6391,                 0.3951,                0.44269,                0.28151,                 1.1605,                0.87674,                 1.1242,             0.00015508,             0.00015508,             0.00015508
                     67,                 1.0253,                0.66687,                 1.0438,                0.64024,                0.39796,                0.44267,                0.28323,                 1.1599,                0.86976,                 1.1201,             0.00015077,             0.00015077,             0.00015077
                     68,                 1.0246,                0.66715,                 1.0463,                0.64196,                0.39551,                0.44039,                0.28033,                 1.1587,                0.87684,                 1.1284,             0.00014646,             0.00014646,             0.00014646
                     69,                 1.0141,                0.65827,                 1.0396,                0.63032,                0.39841,                 0.4426,                0.28361,                 1.1598,                0.87037,                 1.1316,             0.00014216,             0.00014216,             0.00014216
                     70,                 1.0098,                0.65123,                  1.036,                0.61068,                 0.4035,                0.44117,                0.28308,                  1.162,                0.87571,                 1.1292,             0.00013785,             0.00013785,             0.00013785
                     71,                 1.0109,                 0.6527,                 1.0357,                0.62589,                0.40056,                0.44443,                0.28471,                 1.1541,                0.86828,                 1.1209,             0.00013355,             0.00013355,             0.00013355
                     72,                 1.0053,                0.64691,                 1.0332,                0.64123,                0.39459,                0.44162,                0.28337,                 1.1636,                0.87683,                 1.1253,             0.00012924,             0.00012924,             0.00012924
                     73,                 1.0022,                0.64514,                 1.0335,                 0.6334,                0.39665,                0.44172,                0.28548,                  1.163,                0.87382,                 1.1265,             0.00012493,             0.00012493,             0.00012493
                     74,                 1.0016,                0.63868,                 1.0294,                0.62439,                0.40213,                0.44224,                0.28515,                 1.1635,                0.87001,                 1.1273,             0.00012063,             0.00012063,             0.00012063
                     75,                0.99471,                0.63123,                  1.024,                0.62924,                0.39791,                 0.4416,                0.28272,                 1.1677,                0.87125,                 1.1321,             0.00011632,             0.00011632,             0.00011632
                     76,                0.99657,                0.63434,                 1.0272,                0.63308,                0.39741,                0.44228,                0.28541,                 1.1613,                0.86942,                 1.1322,             0.00011201,             0.00011201,             0.00011201
                     77,                0.99042,                0.62704,                 1.0239,                0.64226,                0.39384,                0.44305,                0.28476,                 1.1582,                0.86986,                 1.1277,             0.00010771,             0.00010771,             0.00010771
                     78,                0.98218,                0.62032,                 1.0194,                   0.64,                0.39645,                0.44276,                0.28443,                 1.1654,                0.87042,                 1.1348,              0.0001034,              0.0001034,              0.0001034
                     79,                0.97802,                0.61679,                 1.0162,                0.64595,                 0.4011,                0.44727,                0.28627,                 1.1635,                0.87022,                 1.1299,             9.9093e-05,             9.9093e-05,             9.9093e-05
                     80,                0.97148,                0.60751,                 1.0101,                0.63897,                0.40129,                0.44609,                0.28794,                 1.1579,                0.86543,                  1.128,             9.4786e-05,             9.4786e-05,             9.4786e-05
                     81,                0.96575,                0.60387,                 1.0091,                0.62992,                0.40617,                0.44591,                  0.288,                  1.165,                0.86878,                 1.1342,              9.048e-05,              9.048e-05,              9.048e-05
                     82,                0.96618,                0.60278,                 1.0122,                0.64922,                0.40037,                0.44673,                0.28638,                 1.1618,                0.86799,                 1.1345,             8.6173e-05,             8.6173e-05,             8.6173e-05
                     83,                0.96162,                0.60019,                 1.0092,                 0.6472,                0.39932,                0.44624,                0.28623,                 1.1625,                0.86966,                 1.1354,             8.1867e-05,             8.1867e-05,             8.1867e-05
                     84,                  0.957,                0.59039,                 1.0035,                0.63952,                 0.3988,                0.44579,                0.28787,                 1.1631,                0.86578,                 1.1322,             7.7561e-05,             7.7561e-05,             7.7561e-05
                     85,                 0.9571,                0.59134,                 1.0036,                0.63927,                0.40362,                0.44578,                0.28791,                 1.1616,                0.86695,                 1.1343,             7.3254e-05,             7.3254e-05,             7.3254e-05
                     86,                0.95332,                0.58421,                 1.0007,                0.63809,                0.40485,                0.44734,                0.28841,                 1.1644,                0.86551,                 1.1383,             6.8948e-05,             6.8948e-05,             6.8948e-05
                     87,                0.94493,                 0.5777,                0.99818,                0.63225,                0.39946,                0.44333,                0.28461,                 1.1638,                0.86845,                 1.1403,             6.4641e-05,             6.4641e-05,             6.4641e-05
                     88,                0.94546,                0.57787,                0.99807,                0.63788,                0.39894,                0.44569,                0.28542,                 1.1672,                 0.8676,                 1.1412,             6.0335e-05,             6.0335e-05,             6.0335e-05
                     89,                0.93848,                 0.5725,                0.99559,                0.64364,                0.39852,                0.44496,                0.28732,                 1.1622,                 0.8652,                 1.1386,             5.6028e-05,             5.6028e-05,             5.6028e-05
                     90,                0.93921,                0.57132,                0.99749,                0.64044,                0.39906,                0.44335,                0.28596,                 1.1651,                0.87206,                 1.1417,             5.1721e-05,             5.1721e-05,             5.1721e-05
                     91,                0.93772,                0.56619,                0.99562,                 0.6354,                0.40026,                0.44471,                0.28679,                 1.1642,                0.87285,                  1.141,             4.7415e-05,             4.7415e-05,             4.7415e-05
                     92,                0.93785,                0.56767,                0.99317,                0.61987,                0.40295,                0.44264,                0.28519,                 1.1639,                0.86677,                 1.1423,             4.3108e-05,             4.3108e-05,             4.3108e-05
                     93,                0.93041,                0.56042,                0.98871,                0.62995,                0.40368,                0.44547,                0.28738,                 1.1623,                0.86677,                 1.1437,             3.8802e-05,             3.8802e-05,             3.8802e-05
                     94,                0.92562,                0.55679,                0.98757,                0.62874,                0.40309,                0.44364,                0.28569,                 1.1657,                0.86934,                 1.1419,             3.4495e-05,             3.4495e-05,             3.4495e-05
                     95,                0.91947,                0.55085,                0.98354,                0.64149,                0.39884,                0.44342,                0.28633,                 1.1663,                0.86974,                 1.1453,             3.0189e-05,             3.0189e-05,             3.0189e-05
                     96,                0.92044,                0.55042,                0.98422,                 0.6534,                0.39474,                0.44242,                0.28523,                 1.1678,                 0.8726,                 1.1482,             2.5883e-05,             2.5883e-05,             2.5883e-05
                     97,                0.91299,                0.54604,                0.98094,                0.63801,                0.39932,                0.44336,                0.28655,                 1.1668,                0.86983,                  1.146,             2.1576e-05,             2.1576e-05,             2.1576e-05
                     98,                0.91519,                 0.5467,                0.98263,                0.64183,                0.39916,                0.44464,                0.28688,                 1.1666,                0.87031,                 1.1444,              1.727e-05,              1.727e-05,              1.727e-05
                     99,                0.91082,                0.54395,                0.98078,                0.64261,                0.39933,                0.44549,                0.28685,                 1.1657,                0.86972,                 1.1448,             1.2963e-05,             1.2963e-05,             1.2963e-05
                    100,                 0.9128,                0.54337,                 0.9824,                0.65252,                0.39627,                0.44439,                0.28659,                 1.1666,                0.86828,                 1.1449,             8.6565e-06,             8.6565e-06,             8.6565e-06
